fielddate	poiskInd_corr	RTRD	levada_IPN	USD
2011-08-01	32.154052101316424	1652.6	63.157894736842096	28.746490909090905
2011-09-01	28.73636065497605	1643.2	71.05263157894737	30.57173181818181
2011-10-01	29.777749254115147	1701.3	71.05263157894737	31.388166666666674
2011-11-01	27.31696382914588	1693.9	65.78947368421052	30.822985714285718
2011-12-01	24.352417678720517	2044.0	63.157894736842096	31.49111739130435
2012-01-01	18.074258941548813	1524.5	71.05263157894737	31.2383
2012-02-01	20.97418362898711	1524.4	71.05263157894737	29.88546
2012-03-01	21.254952151816248	1640.8	71.05263157894737	29.33186363636364
2012-04-01	19.76539870009986	1650.1	73.6842105263158	29.490885714285717
2012-05-01	24.20145882424294	1712.9	86.84210526315788	30.80437
2012-06-01	39.180688476855046	1749.2	63.157894736842096	32.87836666666666
2012-07-01	27.69365035423625	1794.1	60.526315789473685	32.52510476190474
2012-08-01	24.91526192517929	1848.7	63.157894736842096	31.95679565217392
2012-09-01	22.42987142846521	1849.6	65.78947368421052	31.517657142857146
2012-10-01	21.037753236043024	1904.5	60.526315789473685	31.11565
2012-11-01	20.12328713046004	1900.3	57.89473684210525	31.39876666666667
2012-12-01	19.406925790389813	2295.4	68.42105263157895	30.73725909090909
2013-01-01	15.558892901090797	1710.7	65.78947368421052	30.22714375
2013-02-01	16.844096715181667	1690.3	60.526315789473685	30.16307
2013-03-01	18.80467940200505	1840.3	63.157894736842096	30.80029047619048
2013-04-01	20.89993311464294	1850.3	63.157894736842096	31.350214285714284
2013-05-01	19.674456970994875	1902.3	73.6842105263158	31.30588333333333
2013-06-01	24.78367617424094	1940.2	73.6842105263158	32.306795
2013-07-01	25.252301784390067	1991.2	68.42105263157895	32.74075
2013-08-01	22.46623164958673	2041.1	60.526315789473685	33.02487391304348
2013-09-01	21.159853703568803	2019.7	63.157894736842096	32.60167
2013-10-01	27.4080299694066	2083.1	57.89473684210525	32.09922608695653
2013-11-01	25.27838784828884	2099.5	50.0	32.694
2013-12-01	25.494551284104627	2517.2	68.42105263157895	32.88070476190477
2014-01-01	23.230545504264565	1867.1	65.78947368421052	33.784352941176465
2014-02-01	31.818399972171093	1871.3	60.526315789473685	35.24404000000001
2014-03-01	31.560982233485362	2054.5	65.78947368421052	36.198565
2014-04-01	25.46861280042728	2042.9	71.05263157894737	35.66772727272728
2014-05-01	25.686576344550037	2095.0	84.21052631578948	34.833655
2014-06-01	23.377021425687236	2118.8	78.94736842105263	34.44953333333333
2014-07-01	25.56673067563779	2192.2	68.42105263157895	34.63540869565217
2014-08-01	24.07885251008473	2263.8	73.6842105263158	36.098427272727264
2014-09-01	25.14626881783813	2241.3	55.26315789473684	37.90178095238095
2014-10-01	26.429472072073178	2310.9	55.26315789473684	40.79868695652175
2014-11-01	40.339587087142405	2343.6	55.26315789473684	46.21748421052632
2014-12-01	100.0	2954.8	28.947368421052627	55.77043636363637
2015-01-01	38.32629039676938	2050.5	15.789473684210524	65.1530875
2015-02-01	33.831017943887076	2024.4	15.789473684210524	64.51817368421052
2015-03-01	31.805912673640407	2196.6	23.684210526315788	60.36309000000002
2015-04-01	36.831068153568026	2158.9	34.21052631578947	53.21869545454546
2015-05-01	27.97999702022179	2213.7	47.368421052631575	50.46795789473686
2015-06-01	35.91817932971491	2223.3	47.368421052631575	54.44904000000001
2015-07-01	31.03440883770376	2301.1	31.578947368421048	57.17966956521739
2015-08-01	41.55226790133654	2376.7	23.684210526315788	65.42299047619048
2015-09-01	30.438724580281864	2322.6	34.21052631578947	66.78289545454545
2015-10-01	28.864212684324823	2385.2	31.578947368421048	63.24558695652174
2015-11-01	27.258313758454147	2387.3	18.42105263157895	65.02956315789474
2015-12-01	35.475155977359485	2898.1	21.05263157894737	69.70484782608695
2016-01-01	35.56132666894193	2129.5	0.0	77.934425
2016-02-01	32.46541653102239	2119.0	15.789473684210524	77.32849473684213
2016-03-01	30.87049063333704	2247.8	5.2631578947368425	70.41831904761905
2016-04-01	31.356718246548557	2222.6	18.42105263157895	66.68263636363636
2016-05-01	27.14107288076456	2258.1	21.05263157894737	65.83865555555558
2016-06-01	36.90389392905741	2283.3	34.21052631578947	65.21926666666668
2016-07-01	29.04483314164547	2381.2	31.578947368421048	64.33796818181818
2016-08-01	23.940559194946452	2458.4	26.315789473684212	64.93652727272728
2016-09-01	22.88494565705475	2418.5	26.315789473684212	64.55720454545455
2016-10-01	25.648988610398806	2443.8	39.473684210526315	62.62000476190475
2016-11-01	28.158697152208664	2435.5	28.947368421052627	64.31373809523811
2016-12-01	30.34766309614261	2919.6	36.8421052631579	62.09129130434781
2017-01-01	26.14844602254928	2214.9	36.8421052631579	59.62985625
2017-02-01	30.46954009762208	2176.6	39.473684210526315	58.53936111111112
2017-03-01	30.659022188226107	2361.2	39.473684210526315	58.00663181818182
2017-04-01	29.487893832978106	2336.8	50.0	56.43561428571428
2017-05-01	31.860897786081672	2386.3	50.0	56.95006842105265
2017-06-01	33.11509031082744	2421.3	50.0	57.893176190476176
2017-07-01	34.33288321885541	2509.9	47.368421052631575	59.69267619047619
2017-08-01	35.95436381455373	2585.5	50.0	59.61272608695653
2017-09-01	32.79190418850478	2569.9	63.157894736842096	57.74469090909092
2017-10-01	30.20158865964577	2594.0	52.631578947368425	57.69805238095239
2017-11-01	33.8888263635751	2571.2	44.73684210526316	58.92655238095239
2017-12-01	33.80059479686992	3085.7	63.157894736842096	58.573854545454566
2018-01-01	28.77779928577223	2330.4	57.89473684210525	56.49810000000001
2018-02-01	29.074916211656337	2271.8	68.42105263157895	56.8067052631579
2018-03-01	30.03252700435456	2486.4	78.94736842105263	57.063604761904756
2018-04-01	40.43224450117483	2468.6	69.73684210526315	60.76989047619046
2018-05-01	34.92237062423908	2522.6	60.526315789473685	62.2309
2018-06-01	31.625753087140673	2573.3	53.94736842105264	62.76850476190476
2018-07-01	32.93353096197103	2643.9	47.368421052631575	62.86194761904761
2018-08-01	38.43060345340117	2744.0	47.368421052631575	66.07640869565218
2018-09-01	33.05517991862696	2719.1	47.368421052631575	67.66609523809525
2018-10-01	31.61799225382721	2744.9	43.42105263157895	65.85452727272725
2018-11-01	33.26781724234632	2762.8	39.473684210526315	66.35568095238095
2018-12-01	33.37060600916937	3311.6	39.473684210526315	67.33531363636365
2019-01-01	30.67058062741161	2507.5	39.473684210526315	66.51254374999999
2019-02-01	33.08544797470947	2454.6	50.0	65.81052500000001
2019-03-01	34.326239164661445	2690.4	60.526315789473685	65.09225714285714
